id,company,role,location,industry,required_skills,duration_months,stipend
INT379,Maruti Suzuki,QA Engineer,Guwahati,Ports & Shipping,"['SQL', 'Penetration Testing', 'SPSS']",3,17389
INT380,Bajaj,Digital Marketer,City_180,Industry_005,"['Creativity', 'Community Mobilization', 'Logistics']",3,5877
INT381,Bajaj,QA Engineer,Siliguri,Food & Beverage,"['Power Automate', 'Agile', 'Customer Relationship', 'STATA', 'POS Systems']",6,16542
INT382,Tech Mahindra,Mobile App Developer,City_338,Industry_002,"['Accessibility', 'GCP', 'Git']",3,19506
INT383,HCL,Cybersecurity Analyst,City_316,Cold Chain,"['Raspberry Pi', 'IoT', 'GitHub', 'Python', 'SEO', 'Investment Research']",6,12276
INT384,Maruti Suzuki,Digital Marketer,City_116,Defense,"['Payroll', 'L&D', 'Machine Learning']",12,16469
INT385,TCS,Financial Analyst,City_204,Agriculture,"['SolidWorks', 'JMeter']",3,21759
INT386,Wipro,Content Writer,City_311,Ports & Shipping,"['Social Work', 'Critical Thinking']",3,11550
INT387,Reliance,Data Analyst,Mysore,Finance,"['SPSS', 'CI/CD', 'Procurement', 'Computer Vision', 'Accounting']",12,23141
INT388,HCL,Mobile App Developer,City_286,Industry_001,"['Masonry', 'Bash', 'Telemedicine Support', 'Machine Learning', 'Teamwork', 'Food Safety']",12,19245
INT389,Cognizant,Cybersecurity Analyst,City_135,Rural Development,"['PowerApps', 'Warehouse Operations', 'ISO 9001', 'SIEM']",6,19503
INT390,Maruti Suzuki,Project Manager,Ujjain,Tourism,"['Figma', 'Phlebotomy', 'CI/CD']",3,10288
INT391,Cognizant,Cybersecurity Analyst,City_261,Healthcare,"['Rural Outreach', 'IoT']",6,13315
INT392,Wipro,Digital Marketer,City_287,Event Management,"['CI/CD', 'Cashier', 'Food Safety', 'Pharmacy Assistance', 'Masonry', 'Powershell']",3,16591
INT393,Reliance,Data Analyst,City_194,Warehousing,"['Salesforce', 'UI/UX', 'Tally', 'Surveying', 'React', 'Supply Chain']",3,20688
INT394,Tech Mahindra,Customer Support,City_126,Telecommunications,"['MS Excel', 'Vue']",6,18002
INT395,Aditya Birla,Customer Support,City_252,HealthTech,"['Accessibility', 'Java']",6,15330
INT396,HCL,Full Stack Developer,City_287,CleanTech,"['Surveying', 'CAD']",6,9865
INT397,TCS,Mobile App Developer,City_338,Energy,"['Community Mobilization', 'Operations', 'GitHub']",6,6878
INT398,L&T,Customer Support,City_147,Beauty & Wellness,"['Graphic Design', '3D Printing', 'POS Systems', '5S', 'Drones']",6,17652
INT399,Infosys,Marketing Associate,City_142,Roads & Highways,"['Taxation', 'Sales']",6,23634
INT400,Infosys,Customer Support,Sambalpur,Research,"['Financial Modeling', 'Machine Learning']",6,13770
INT401,Infosys,Data Scientist,City_290,Industry_013,"['Lead Generation', 'L&D', 'Business Analysis', 'JavaScript']",12,7992
INT402,Bajaj,Network Engineer,City_193,Entertainment,"['Electronics Repair', 'Inside Sales', 'Automation Testing']",12,21274
INT403,ICICI Bank,Customer Support,Mysuru,Consulting,"['Python', 'AWS', 'JavaScript', 'Scrum', 'Git']",6,10187
INT404,Aditya Birla,Software Developer,Coimbatore,Marketing Services,"['NLP', 'Cloud', 'Store Management', 'UAV Operation', 'Machine Learning']",3,15075
INT405,Infosys,Growth Marketer,Hisar,Food & Beverage,"['Microfinance', 'Cashier', 'Compliance']",12,18222
INT406,Mahindra,Recruiter,City_291,Cybersecurity,"['Warehouse Operations', 'NoSQL', 'CAM', 'Customer Service', '5S']",3,7431
INT407,Wipro,Copywriter,City_252,Railways,"['Data Analysis', 'Raspberry Pi', 'CSR Implementation']",3,9320
INT408,Mahindra,QA Engineer,City_200,Industry_001,"['JMeter', 'Salesforce']",12,23899
INT409,L&T,Recruiter,City_319,Roads & Highways,"['Talent Acquisition', 'Accounting', 'Accessibility', 'Solar Installation', 'ISO 27001', 'Masonry']",12,23732
INT410,Cognizant,Data Engineer,City_159,Courier,"['Raspberry Pi', 'Deep Learning']",12,17524
INT411,ICICI Bank,Business Analyst,Durgapur,Manufacturing,"['FSSAI Compliance', 'Merchandising', 'SharePoint', 'SCADA', 'Solar Installation', 'CRM']",3,12640
INT412,Infosys,DevOps Engineer,Meerut,Construction,"['Electrical Wiring', 'Spring']",6,5770
INT413,Maruti Suzuki,Digital Marketer,City_249,Mining,"['Digital Marketing', 'CAM', 'Solar Installation', 'Selenium']",6,20726
INT414,TCS,Cybersecurity Analyst,Kalyan,Technology,"['Talent Acquisition', 'CAD', 'Postman']",6,15032
INT415,HDFC Bank,Recruiter,City_341,Industry_012,"['Leadership', 'Inventory Management', 'Copywriting', '3D Printing', 'Manual Testing']",12,19750
INT416,Cognizant,Business Analyst,Chandigarh,Horticulture,"['Operations', 'Customer Relationship', 'L&D']",12,6106
INT417,HDFC Bank,Full Stack Developer,City_170,Retail,"['Cold Chain', 'Project Management']",6,15313
INT418,Tata Steel,Product Manager,City_241,Courier,"['Electrical Wiring', 'KYC']",6,13925
INT419,Bajaj,Copywriter,City_316,Warehousing,"['Employee Engagement', 'Data Analysis', 'Power BI', 'Painting', 'CAM']",12,16734
INT420,Wipro,Operations Associate,City_195,Shared Services,"['Vulnerability Assessment', 'React', 'Nursing Assistance', 'Financial Modeling']",12,20268
INT421,Tata Steel,Software Developer,Kakinada,Oil & Gas,"['Power BI', 'Kubernetes', 'MS Word', 'Postman']",6,11762
INT422,Reliance,Business Analyst,City_121,Transportation,"['VLSI Basics', 'SEM', 'Basic Computer Skills', 'Welding']",12,23675
INT423,Maruti Suzuki,Marketing Associate,City_314,Dairy,"['Digital Marketing', 'HR', 'Drones', 'Labor Laws']",3,14782
INT424,ICICI Bank,Technical Support,City_135,AgriTech,"['Branding', 'Laboratory Technician', 'Jira']",3,15005
INT425,Bajaj,ML Engineer,City_203,CSR,"['Electrical Wiring', 'Project Management', 'Microfinance', 'IoT', 'Telemedicine Support', 'Confluence']",6,23950
INT426,Mahindra,Business Analyst,City_116,Food & Beverage,"['Cold Chain', 'Documentation', 'JavaScript', 'Basic Computer Skills']",12,23394
INT427,Wipro,DevOps Engineer,City_115,Media,"['Lead Generation', 'Problem Solving', 'Talent Acquisition', 'STATA', 'Raspberry Pi', 'Merchandising']",6,12160
INT428,Bajaj,Automation Tester,City_273,Cybersecurity,"['Industrial Safety', 'Business Analysis', 'Computer Vision', 'Agile', 'Docker', 'Statistics']",3,23710
INT429,Mahindra,DevOps Engineer,Amritsar,Industry_003,"['Tableau', 'ISO 9001', 'Field Survey']",3,20693
INT430,ICICI Bank,Business Analyst,City_266,Renewable Energy,"['SEO', 'Masonry', 'Laboratory Technician']",6,17141
INT431,ICICI Bank,Financial Analyst,City_300,Defense,"['NoSQL', 'Project Management', 'C++']",3,14888
INT432,HDFC Bank,Operations Associate,City_222,Food Processing,"['Flask', 'GCP', 'Merchandising', 'Embedded Systems', 'Canva']",12,6789
INT433,Tech Mahindra,Software Developer,Ambattur,Industry_009,"['Excel', 'Cloud', 'PowerApps', 'Tableau']",3,20121
INT434,ICICI Bank,Full Stack Developer,City_202,Solar,"['Telemedicine Support', 'PCB Design', 'Logistics', 'Networking', 'Lead Generation', 'Industrial Safety']",6,20445
INT435,TCS,Recruiter,City_221,Transportation,"['Embedded Systems', 'Figma', 'Spring', 'Confluence', 'Telemedicine Support', 'Taxation']",12,14776
INT436,HCL,Project Manager,City_168,Dairy,"['Adobe XD', 'Data Engineering', 'Node.js', 'Canva', 'Typing']",12,17156
INT437,TCS,Mobile App Developer,Karnal,AgriTech,"['Networking', 'Cold Chain', 'Docker']",12,9447
INT438,TCS,Full Stack Developer,City_128,Cold Chain,"['JMeter', 'SEM', 'Bash', 'Documentation']",6,11812
INT439,Aditya Birla,ML Engineer,Surat,Food Processing,"['UAV Operation', 'Automation Testing', 'Retail Operations']",12,18621
INT440,L&T,Network Engineer,City_346,Beauty & Wellness,"['Power Automate', 'Typing', 'Rust', 'SQL', 'SolidWorks']",12,15282
INT441,Tata Steel,Cybersecurity Analyst,Ambattur,CSR,"['Bookkeeping', 'Microfinance', 'Industrial Safety', 'React']",3,7938
INT442,Aditya Birla,Automation Tester,City_250,Textiles,"['Flask', 'Six Sigma', 'Documentation', 'Networking']",3,14899
INT443,HCL,Content Strategist,City_164,Consulting,"['Graphic Design', 'MS PowerPoint', 'Zoho']",6,6537
INT444,Wipro,Cloud Engineer,City_287,Advertising,"['Payroll', 'Logistics', 'Salesforce', 'Bash']",6,16035
INT445,Tata Steel,Full Stack Developer,Kozhikode,Courier,"['Cloud', 'Customer Service', 'CI/CD']",12,12660
INT446,TCS,DevOps Engineer,Jaipur,Hospitality,"['Inventory Management', '3D Printing', 'Excel', 'Figma']",3,5326
INT447,HCL,Software Developer,Panvel,Courier,"['Cold Chain', 'Six Sigma', 'Employee Engagement', 'Spring']",12,9025
INT448,Aditya Birla,Mobile App Developer,City_220,Smart Cities,"['C++', 'Employee Engagement', 'L&D', 'Azure']",6,24977
INT449,Bajaj,Digital Marketer,City_162,Banking,"['GitHub', 'Marketing']",12,17130
INT450,HCL,Data Analyst,Jodhpur,Logistics,"['Claims Processing', 'SCADA', 'CATIA']",6,20978
INT451,Wipro,Product Manager,Thane,KPO,"['Cashier', 'ServiceNow', 'MATLAB', 'CSS']",3,22700
INT452,HDFC Bank,Finance Intern,Ranchi,Sports,"['Deep Learning', 'Selenium']",12,10342
INT453,Wipro,Automation Tester,Ujjain,AgriTech,"['Tally', 'Vue']",6,18552
INT454,Cognizant,Content Strategist,City_133,Beauty & Wellness,"['Postman', 'Store Management', 'Community Mobilization', 'Statistics', '5S', 'Wind Turbine Basics']",12,21226
INT455,ICICI Bank,Content Strategist,City_134,Fisheries,"['Carpentry', 'SharePoint']",12,10992
INT456,Cognizant,Project Manager,Kalyan,Metals,"['Solar Installation', 'Typing', 'Graphic Design', 'MS PowerPoint']",6,10049
INT457,Maruti Suzuki,Automation Tester,City_241,Research,"['Salesforce', 'Critical Thinking', 'Flask']",3,10097
INT458,ICICI Bank,Supply Chain Analyst,Agra,Sports,"['Operations', 'Logistics', 'Field Survey', 'MS Excel']",6,13346
INT459,Cognizant,HR Assistant,Gaya,Banking,"['Agile', 'Plumbing', 'Networking', 'Automation Testing', '3D Printing']",3,11104
INT460,Infosys,DevOps Engineer,Kota,Agriculture,"['R', 'MS Word']",6,21826
INT461,TCS,Product Manager,City_178,Industry_003,"['Recruitment', 'AML', 'VLSI Basics', 'React', 'HACCP', 'Node.js']",6,6621
INT462,Tech Mahindra,Content Strategist,City_249,AgriTech,"['Masonry', 'Canva']",12,9949
INT463,ICICI Bank,ML Engineer,City_301,Marketing Services,"['Scrum', 'Nursing Assistance', 'Accounting', 'GitLab', 'Arduino', 'Sales']",12,8584
INT464,Mahindra,ML Engineer,Aizawl,Logistics,"['Teamwork', 'Supply Chain', 'Risk Assessment']",6,13184
INT465,HCL,Recruiter,City_233,Warehousing,"['TypeScript', 'Taxation', 'SEM']",3,9729
INT466,Infosys,Content Writer,Nadiad,Mining,"['Pharmacy Assistance', 'Confluence', 'Electronics Repair', 'GIS']",6,11303
INT467,Cognizant,UI/UX Designer,Mumbai,Industry_003,"['Penetration Testing', 'SIEM', 'SEM', 'Content Writing', 'Social Media', 'Quality Assurance']",3,14985
INT468,L&T,Content Strategist,City_266,Ports & Shipping,"['Arduino', 'SCADA', 'Lead Generation', 'C', 'Business Analysis', 'Postman']",3,10446
INT469,TCS,Full Stack Developer,City_192,Advertising,"['NGO Program Support', 'Critical Thinking', 'Pharmacy Assistance', 'Finance', 'Node.js']",12,15263
INT470,HCL,Customer Support,City_350,Leather,"['Jira', 'Carpentry', 'EHR Systems', 'Bash', 'Procurement']",6,11855
INT471,Wipro,Growth Marketer,City_307,Industry_009,"['Recruitment', 'Design Systems', 'Technical Writing', 'Powershell']",6,21318
INT472,Mahindra,Marketing Associate,South Dumdum,Construction,"['CNC', 'CI/CD', 'JavaScript', 'Talent Acquisition']",3,18086
INT473,ICICI Bank,Recruiter,Raipur,Tourism,"['Cloud', 'Rust', 'Surveying', 'Financial Modeling', '3D Printing', 'Merchandising']",3,9944
INT474,Bajaj,Business Analyst,Thiruvananthapuram,Energy,"['NGO Program Support', 'HR', 'Figma', 'HTML']",3,24379
INT475,ICICI Bank,Marketing Associate,City_341,Industry_004,"['Inventory Management', 'Design Systems', 'Labor Laws', 'Project Management', 'Postman', 'HACCP']",12,10051
INT476,Aditya Birla,Copywriter,Aizawl,Marketing Services,"['Food Safety', 'Social Work', 'Bash', 'HTML']",6,17352
INT477,Infosys,Marketing Associate,City_340,FinTech,"['Adaptability', 'Go', 'GIS', 'HACCP', 'SolidWorks', 'Salesforce']",3,11374
INT478,HCL,Network Engineer,Tiruchirappalli,Shared Services,"['Field Survey', 'HTML', 'CSS', 'Business Analysis', '3D Printing', 'MS Excel']",3,10145
INT479,Infosys,Content Strategist,City_329,Transportation,"['DevOps', 'NLP', 'GitHub']",3,17193
INT480,Tata Steel,Business Analyst,City_262,Beauty & Wellness,"['Retail Operations', 'Tally']",12,10034
INT481,Tech Mahindra,Copywriter,City_279,Horticulture,"['Leadership', 'Inventory Management', 'Copywriting', 'C++', 'Statistics', 'Social Work']",12,8595
INT482,L&T,Marketing Associate,City_135,Startups & Incubation,"['Vue', 'Supply Chain', 'Email Marketing', 'Branding', 'Microfinance', 'Cloud']",12,5031
INT483,TCS,Customer Support,City_199,Logistics,"['Problem Solving', 'Leadership', 'Quality Assurance', 'Solar Installation', 'Basic Computer Skills', 'ISO 9001']",3,15278
INT484,L&T,Marketing Associate,City_199,Analytics,"['Digital Marketing', 'Inventory Management', 'Risk Assessment', 'Email Marketing', 'Community Mobilization']",12,8891
INT485,Bajaj,Copywriter,Jamshedpur,KPO,"['Drones', 'Bash', 'Power BI', 'Embedded Systems']",3,19290
INT486,Maruti Suzuki,DevOps Engineer,Kakinada,Energy,"['Bash', 'JavaScript', 'Branding']",12,7095
INT487,TCS,Business Analyst,Kurnool,Advertising,"['MS Excel', 'Figma', 'Zoho', 'Power BI']",6,20912
INT488,L&T,Data Engineer,City_291,Industry_013,"['Deep Learning', 'Lean']",12,19631
INT489,Wipro,Content Strategist,City_209,Entertainment,"['PCB Design', 'Embedded Systems', 'Marketing', 'PLC', 'Phlebotomy', 'Basic Computer Skills']",3,10271
INT490,L&T,Cybersecurity Analyst,Yamunanagar,Biotechnology,"['TypeScript', 'Vue', 'Adobe XD', 'Compliance', 'Payroll', 'Cold Chain']",3,10508
INT491,Tata Steel,Software Developer,Amritsar,Technology,"['Penetration Testing', 'Risk Assessment', 'Kubernetes', 'Typing']",6,11337
INT492,L&T,Content Writer,Durgapur,Automotive,"['Inside Sales', 'Masonry']",3,15703
INT493,Maruti Suzuki,Cloud Engineer,City_139,Banking,"['Accessibility', 'AutoCAD', 'Laboratory Technician', 'Python', 'Accounting', 'SolidWorks']",12,10303
INT494,Cognizant,Copywriter,City_316,E-commerce,"['NGO Program Support', 'Embedded Systems', 'Django', 'Automation Testing', 'Procurement', 'MS Excel']",12,19162
INT495,Wipro,Content Strategist,City_235,Industry_011,"['Project Management', 'Graphic Design', 'GitLab', 'CATIA', 'Vulnerability Assessment']",12,24969
INT496,Cognizant,Content Writer,City_345,BPO/ITES,"['Communication', 'Cold Chain', 'Risk Assessment']",3,21569
INT497,ICICI Bank,QA Engineer,Mira-Bhayandar,Research,"['Microfinance', 'NGO Program Support', 'Warehouse Operations', 'GitLab', 'Procurement', 'Selenium']",3,13120
INT498,Reliance,Recruiter,City_157,Industry_014,"['Python', 'Express']",3,10080
INT499,Aditya Birla,HR Assistant,Davanagere,Courier,"['Cashier', 'IoT', 'CI/CD']",3,22713
INT500,Tech Mahindra,HR Assistant,City_115,Renewable Energy,"['Postman', 'Claims Processing', 'Arduino']",12,7074
INT501,L&T,Financial Analyst,City_167,Industry_005,"['Warehouse Operations', 'Communication']",6,17636
INT502,Infosys,QA Engineer,Faridabad,Handloom,"['SCADA', 'Linux', 'Java', 'Painting']",12,22126
INT503,Infosys,Full Stack Developer,City_335,EdTech,"['CSR Implementation', 'Express', 'Carpentry']",3,20305
INT504,Bajaj,Finance Intern,City_210,Biotechnology,"['Problem Solving', 'Nursing Assistance', 'Power BI', 'Accounting', 'Electronics Repair']",6,23990
INT505,Tech Mahindra,Recruiter,City_330,Banking,"['Nursing Assistance', 'Copywriting', 'Finance', 'UAV Operation', 'Leadership', 'GitLab']",12,5545
INT506,Tata Steel,Content Strategist,Udaipur,Industry_004,"['GST', 'Financial Modeling', 'Medical Coding', 'Inventory Management', 'MS Excel']",6,10597
INT507,Bajaj,Full Stack Developer,City_182,Food & Beverage,"['AWS', 'Inside Sales']",6,11689
INT508,HDFC Bank,Supply Chain Analyst,City_260,Entertainment,"['Kubernetes', 'HubSpot', 'Field Sales', 'Canva', 'Raspberry Pi', 'Business Analysis']",12,19259
INT509,Aditya Birla,QA Engineer,Kolkata,Industry_012,"['Claims Processing', 'Copywriting', 'Cloud', 'SCADA', 'IoT']",3,19583
INT510,HDFC Bank,QA Engineer,City_244,Tourism,"['HR', 'Payroll', 'Electronics Repair', 'Social Media', 'Flask', 'Social Work']",6,23811
INT511,Bajaj,Content Writer,City_249,Healthcare,"['Python', 'SolidWorks', 'Power Automate', 'PCB Design', 'JMeter', 'Branding']",12,21319
INT512,HDFC Bank,Recruiter,City_181,Industry_002,"['3D Printing', 'Digital Marketing', 'Warehouse Operations', 'Requirements Gathering', 'Express', 'Time Management']",3,24931
INT513,Maruti Suzuki,HR Assistant,City_155,Biotechnology,"['Postman', 'Project Management', 'SEO', 'JMeter', 'Creativity']",12,16251
INT514,HCL,Content Writer,City_298,Rural Development,"['Excel', 'Bookkeeping', 'SEM', 'Community Mobilization', 'Industrial Safety', 'MS Excel']",3,13690
INT515,HDFC Bank,Marketing Associate,Hyderabad,Legal,"['UAV Operation', 'Solar Installation', 'Adaptability']",6,5324
INT516,ICICI Bank,Growth Marketer,South Dumdum,Aerospace,"['Kubernetes', 'Inventory Management']",3,20030
INT517,TCS,Content Writer,City_205,AgriTech,"['Raspberry Pi', 'Django', 'JavaScript', 'Data Entry', 'GitLab', 'Business Analysis']",12,13279
INT518,ICICI Bank,HR Assistant,Jalandhar,Industry_013,"['Python', 'CATIA', 'Typing']",12,23204
INT519,HCL,Full Stack Developer,City_341,Education,"['Communication', 'Branding', 'Food Safety', 'Typing']",12,12764
INT520,Bajaj,Supply Chain Analyst,City_243,FinTech,"['SolidWorks', 'Customer Relationship']",6,12751
INT521,TCS,DevOps Engineer,City_229,Oil & Gas,"['React', 'Python']",3,6504
INT522,Aditya Birla,Digital Marketer,City_200,Industry_012,"['Statistics', 'Electronics Repair', 'PowerApps', 'PCB Design', 'Auditing']",12,11661
INT523,TCS,Data Engineer,City_184,Metals,"['NLP', 'CATIA', 'Confluence', 'NGO Program Support']",12,11277
INT524,Tech Mahindra,Finance Intern,City_278,Event Management,"['Compliance', 'Manual Testing', 'CNC', 'Angular']",12,20723
INT525,Cognizant,Network Engineer,Surat,Cloud Services,"['MS Word', 'Lean']",3,18580
INT526,Cognizant,QA Engineer,Vadodara,Manufacturing,"['Masonry', 'Microfinance']",3,19015
INT527,ICICI Bank,Mobile App Developer,Guntur,Media,"['Business Analysis', 'Content Writing', 'Social Media']",6,9309
INT528,Bajaj,Supply Chain Analyst,Faridabad,Dairy,"['Requirements Gathering', 'Food Safety', 'HubSpot', 'Payroll', 'CAD']",6,17262
INT529,Wipro,Business Analyst,Ludhiana,Mining,"['SharePoint', 'PowerApps', 'STATA']",3,15603
INT530,Cognizant,Digital Marketer,City_313,Gaming,"['ISO 9001', 'AWS', 'Google Analytics', 'Payroll', 'NGO Program Support']",3,11037
INT531,Tech Mahindra,Cloud Engineer,Amravati,Legal,"['Lead Generation', 'Accessibility']",3,14663
INT532,Mahindra,Customer Support,Bhopal,FinTech,"['Branding', 'ISO 9001', 'Supply Chain', 'Social Media', 'Typing']",6,15671
INT533,ICICI Bank,Supply Chain Analyst,City_115,Gaming,"['Field Sales', 'Git', 'NLP', 'Design Systems', 'MS Excel']",3,15241
INT534,TCS,Financial Analyst,Madurai,Hospitality,"['CRM', 'Store Management', 'Finance', 'Figma']",3,10446
INT535,Tata Steel,Content Strategist,City_306,Consulting,"['KYC', 'Agile']",6,9185
INT536,Aditya Birla,Cloud Engineer,Solapur,Telecommunications,"['Accessibility', 'PowerApps', 'Solar Installation', 'Azure', 'Painting']",6,21208
INT537,Wipro,Copywriter,City_139,Rural Development,"['Insurance Underwriting', 'Agile', 'Welding', 'Customer Relationship', 'CATIA', 'Inside Sales']",12,15526
INT538,L&T,Marketing Associate,South Dumdum,Warehousing,"['HACCP', 'Branding', 'Git', 'Packaging', 'Customer Relationship', 'AWS']",12,15244
INT539,Infosys,Content Writer,Thiruvananthapuram,Aviation,"['Public Speaking', 'Financial Modeling', 'VLSI Basics', 'Data Engineering']",6,7181
INT540,TCS,Marketing Associate,Vasai-Virar,Disaster Management,"['Taxation', 'Branding']",12,8039
INT541,HDFC Bank,Finance Intern,City_233,CleanTech,"['Lean', 'Graphic Design', 'Social Work', 'Investment Research']",12,12039
INT542,ICICI Bank,Technical Support,Ambattur,Food Processing,"['MS Word', 'Insurance Underwriting', 'AML', 'Content Writing', 'Power BI']",6,8902
INT543,ICICI Bank,Operations Associate,City_154,Industry_004,"['JMeter', 'SIEM', 'Confluence', 'SEM', 'Raspberry Pi', 'Vulnerability Assessment']",3,15923
INT544,HCL,Financial Analyst,City_262,Rural Development,"['Adobe XD', 'Cybersecurity']",3,22362
INT545,HCL,Copywriter,Raipur,Telecommunications,"['Product Management', 'Wind Turbine Basics', 'Customer Service']",12,10970
INT546,Reliance,Data Engineer,Ludhiana,Public Health,"['Critical Thinking', 'MS Excel', 'GitHub', 'CATIA', 'Spring']",6,10704
INT547,Mahindra,Recruiter,City_244,Courier,"['SEO', 'CATIA']",6,11027
INT548,ICICI Bank,Automation Tester,Navi Mumbai,Waste Management,"['SPSS', 'Quality Assurance', 'Nursing Assistance']",6,18388
INT549,ICICI Bank,Content Strategist,City_339,KPO,"['Store Management', 'Canva', 'Communication', 'Power Automate']",12,6638
INT550,Infosys,HR Assistant,City_290,Pharmaceuticals,"['Payroll', 'Pharmacy Assistance', 'ISO 9001', 'Networking']",6,14149
INT551,Tech Mahindra,Content Writer,City_255,Agriculture,"['Quality Assurance', 'AML', 'GST', 'Kubernetes', 'Electronics Repair']",6,24295
INT552,Cognizant,Data Scientist,City_159,Shared Services,"['Procurement', 'Cloud', 'Electrical Wiring']",12,23860
INT553,HDFC Bank,Mobile App Developer,City_193,Research,"['Documentation', 'HubSpot', 'Angular', 'Embedded Systems', 'Electrical Wiring']",12,24196
INT554,Maruti Suzuki,Software Developer,Firozabad,Biotechnology,"['MS Excel', 'PCB Design']",12,16150
INT555,Mahindra,Product Manager,City_296,Healthcare,"['Design Systems', 'Pharmacy Assistance', 'Laboratory Technician', 'HubSpot', 'Kubernetes', 'NLP']",12,7784
INT556,L&T,Supply Chain Analyst,City_210,Beauty & Wellness,"['SEM', 'SEO', 'Git', 'Remote Sensing', 'Content Writing', 'Supply Chain']",6,21862
INT557,Maruti Suzuki,HR Assistant,City_153,Marketing Services,"['Merchandising', 'JMeter', 'Industrial Safety', 'Financial Modeling', 'Employee Engagement', 'Git']",12,17154
INT558,Tech Mahindra,Technical Support,City_252,Environmental Services,"['Finance', 'Rural Outreach', 'Customer Service', 'STATA', 'Creativity', 'KYC']",3,24409
INT559,TCS,Cloud Engineer,Tirunelveli,Energy,"['AML', 'Industrial Safety', 'Postman', 'Insurance Underwriting', 'MS PowerPoint']",12,7424
INT560,Tech Mahindra,DevOps Engineer,City_154,Disaster Management,"['Networking', 'Solar Installation', 'IoT', 'Automation Testing', 'Data Analysis', 'Postman']",3,15753
INT561,Maruti Suzuki,Operations Associate,City_271,Food Processing,"['Lead Generation', 'Computer Vision', 'ServiceNow', 'Technical Writing']",3,18941
INT562,Mahindra,Technical Support,Kozhikode,Social Welfare,"['Customer Service', 'Statistics', 'Data Engineering', 'Bash', 'Merchandising']",3,5972
INT563,HCL,HR Assistant,City_258,Climate & Sustainability,"['MS PowerPoint', 'Tableau', 'Community Mobilization', 'Data Analysis', 'PLC']",3,24980
INT564,Mahindra,Content Strategist,City_276,Transportation,"['Salesforce', 'PLC', 'C++', 'TypeScript']",12,23771
INT565,Aditya Birla,Full Stack Developer,Bellary,Pharmaceuticals,"['Six Sigma', 'PLC', 'React', 'Financial Modeling', 'Google Analytics']",3,23359
INT566,Tech Mahindra,Copywriter,City_217,Sports,"['Adobe XD', 'ServiceNow', 'Tally']",3,15259
INT567,Tata Steel,HR Assistant,City_276,Industry_011,"['Rural Outreach', 'POS Systems']",6,5389
INT568,Maruti Suzuki,Content Strategist,City_343,Waste Management,"['STATA', 'FSSAI Compliance', 'Procurement']",3,8982
INT569,Infosys,Operations Associate,City_124,Sports,"['C++', 'Agile']",12,9117
INT570,Tech Mahindra,Operations Associate,City_243,CleanTech,"['GIS', 'Google Analytics', 'Finance']",3,12974
INT571,Tata Steel,Copywriter,Nashik,Food & Beverage,"['Phlebotomy', 'MS Word']",6,22531
INT572,Maruti Suzuki,ML Engineer,City_258,Industry_006,"['HTML', 'Digital Marketing']",6,6998
INT573,Cognizant,DevOps Engineer,City_154,KPO,"['Vulnerability Assessment', 'Inventory Management', 'Spring', 'HubSpot', 'Medical Coding']",12,21259
INT574,HCL,Content Writer,City_206,Hospitality,"['Data Analysis', 'Figma', 'Phlebotomy', 'Finance', 'Time Management']",12,24647
INT575,Reliance,Operations Associate,City_126,BPO/ITES,"['Product Management', 'Welding', 'Django', 'Telemedicine Support']",3,15940
INT576,L&T,Marketing Associate,City_221,Agriculture,"['Painting', 'SEM', 'Automation Testing', 'Food Safety']",3,7816
INT577,Aditya Birla,Marketing Associate,City_198,Mining,"['Industrial Safety', 'Presentation', 'CNC']",3,16700
INT578,ICICI Bank,Customer Support,Thiruvananthapuram,Automotive,"['SEM', 'Agile', 'Logistics', 'Food Processing', 'VLSI Basics']",3,9391
INT579,Tech Mahindra,HR Assistant,City_123,Roads & Highways,"['Bash', 'Selenium', 'Rust', 'Docker', 'Data Entry']",12,18822
INT580,Maruti Suzuki,QA Engineer,City_194,Fisheries,"['HubSpot', 'Agile']",6,10802
INT581,L&T,Data Scientist,City_194,Insurance,"['Spring', 'Telemedicine Support', 'Packaging', 'HR']",3,6145
INT582,Cognizant,ML Engineer,City_320,Industry_004,"['Inside Sales', 'Painting', 'Vulnerability Assessment', 'CRM', 'MS PowerPoint']",12,14817
INT583,Reliance,Content Strategist,City_136,Education,"['SPSS', 'NoSQL', 'Networking', 'HACCP']",12,22919
INT584,TCS,DevOps Engineer,City_252,KPO,"['Documentation', 'Azure']",6,18752
INT585,HCL,Copywriter,Nellore,Public Health,"['Documentation', 'Painting']",6,13866
INT586,Mahindra,ML Engineer,City_271,Industry_011,"['Graphic Design', 'Electronics Repair', 'Sales', 'Zoho', 'UI/UX', 'TypeScript']",12,18492
INT587,Bajaj,Customer Support,Faridabad,Horticulture,"['Inventory Management', 'Confluence', 'Nursing Assistance', 'Rural Outreach', 'Drones']",12,5117
INT588,Bajaj,Cloud Engineer,Aizawl,Aviation,"['Social Work', 'Marketing', 'VLSI Basics', 'Time Management', 'Selenium', 'Business Analysis']",6,16488
INT589,Infosys,Full Stack Developer,City_122,Industry_013,"['MS PowerPoint', 'Risk Assessment', 'Selenium', 'Cloud']",6,9039
INT590,Mahindra,Project Manager,Sonipat,Healthcare,"['SolidWorks', 'CAD', 'R', 'SharePoint', 'Excel']",6,13879
INT591,Maruti Suzuki,Network Engineer,Vadodara,Courier,"['ISO 27001', 'Electronics Repair', 'Problem Solving', 'Field Survey']",12,7130
